gene,cluster
10024,0
10051,0
10112,0
10274,0
1033,0
10403,0
10460,0
1058,0
1059,0
10615,0
1062,0
1063,0
10635,0
10726,0
10733,0
10735,0
11004,0
11065,0
11113,0
11130,0
113130,0
11339,0
1164,0
128239,0
144455,0
146909,0
147841,0
150468,0
151246,0
151648,0
157313,0
157570,0
166979,0
1894,0
220134,0
221150,0
22919,0
22974,0
2305,0
23332,0
23397,0
23421,0
24137,0
2491,0
259266,0
26271,0
284058,0
284403,0
29028,0
29089,0
29128,0
3070,0
3161,0
332,0
3619,0
3832,0
3833,0
4085,0
4173,0
4288,0
4605,0
4751,0
51053,0
51203,0
51512,0
51514,0
51659,0
5347,0
54069,0
54443,0
54478,0
54821,0
54892,0
55055,0
55143,0
55165,0
55166,0
55247,0
5529,0
55355,0
55388,0
55635,0
55723,0
55789,0
55839,0
55872,0
56992,0
57082,0
57405,0
57551,0
6241,0
6249,0
64105,0
64151,0
6491,0
64946,0
6790,0
699,0
701,0
7083,0
7153,0
7272,0
7298,0
79003,0
79019,0
79682,0
79733,0
79801,0
79866,0
80178,0
81565,0
81620,0
81624,0
81930,0
8243,0
8318,0
83461,0
83540,0
83879,0
83903,0
84057,0
8438,0
890,0
891,0
90417,0
9088,0
9126,0
9133,0
9156,0
9184,0
9212,0
9232,0
9319,0
9381,0
9493,0
9700,0
9735,0
9768,0
9787,0
9824,0
9833,0
9837,0
990,0
991,0
9918,0
9928,0
993,0
995,0
1,1
10447,1
10490,1
10563,1
10916,1
1191,1
12,1
1230,1
1234,1
1237,1
1305,1
1356,1
139322,1
1504,1
1506,1
1508,1
1521,1
1524,1
1535,1
1588,1
1675,1
176,1
1893,1
1950,1
197,1
2,1
207,1
213,1
2152,1
2153,1
2157,1
2162,1
2243,1
2244,1
226,1
2266,1
2335,1
259,1
2597,1
26011,1
2621,1
2638,1
27179,1
2875,1
28983,1
29789,1
3042,1
3043,1
3046,1
3049,1
3050,1
308,1
3082,1
3240,1
3263,1
3273,1
336,1
3383,1
3479,1
3481,1
3486,1
350,1
3500,1
3502,1
3503,1
351,1
3569,1
3586,1
3620,1
3627,1
3630,1
3671,1
368,1
3700,1
3827,1
3902,1
3958,1
3959,1
4179,1
4283,1
4318,1
4582,1
462,1
4635,1
4790,1
493869,1
5004,1
5045,1
5054,1
51097,1
51327,1
5155,1
5196,1
5265,1
5340,1
5443,1
54676,1
5473,1
55664,1
563,1
5657,1
567,1
59272,1
60,1
629,1
6347,1
6352,1
6355,1
6370,1
6373,1
6382,1
6404,1
655,1
6614,1
6693,1
6776,1
6777,1
7040,1
7057,1
7076,1
7123,1
7124,1
716,1
728378,1
729230,1
730249,1
7412,1
7422,1
7450,1
79695,1
81,1
836,1
83706,1
87,1
8728,1
88,1
91937,1
920,1
925,1
927,1
952,1
960,1
10092,2
10093,2
10094,2
10096,2
10097,2
10109,2
102,2
10424,2
10552,2
1080,2
10818,2
11187,2
112574,2
115677,2
1173,2
1175,2
1213,2
130340,2
139716,2
1398,2
1399,2
144568,2
154,2
156,2
160,2
161,2
162,2
163,2
164,2
168620,2
1785,2
1832,2
185,2
1956,2
2017,2
203068,2
2125,2
22848,2
23042,2
23327,2
23412,2
2495,2
25,2
27183,2
273,2
274,2
28447,2
28448,2
28450,2
28772,2
2885,2
28882,2
28883,2
28896,2
28933,2
3055,2
319101,2
322,2
3267,2
338,2
344148,2
3708,2
3709,2
3710,2
373156,2
382,2
387,2
3920,2
3937,2
4036,2
408,2
409,2
4158,2
441376,2
4690,2
4803,2
5058,2
5062,2
5284,2
5295,2
5296,2
5318,2
5339,2
55048,2
554,2
5566,2
5583,2
5650,2
5663,2
5664,2
5774,2
5781,2
60491,2
6233,2
624,2
640,2
6464,2
65125,2
6654,2
667,2
6810,2
7018,2
71,2
7251,2
7253,2
7311,2
7314,2
7409,2
7454,2
7474,2
7534,2
79719,2
79930,2
80755,2
81035,2
8120,2
83417,2
83481,2
83992,2
867,2
8766,2
8905,2
8906,2
9094,2
917,2
93986,2
9525,2
9743,2
9846,2
998,2
10128,3
103,3
10410,3
10422,3
10445,3
10537,3
10659,3
10964,3
1117,3
11274,3
113730,3
132949,3
134285,3
14,3
1431,3
155368,3
16,3
164668,3
1657,3
1892,3
1962,3
200315,3
200316,3
201299,3
2197,3
2275,3
23126,3
23203,3
23246,3
23352,3
23530,3
23710,3
2537,3
25939,3
25979,3
25980,3
25998,3
26010,3
26284,3
2633,3
284325,3
291,3
29890,3
29974,3
30,3
3030,3
3032,3
31,3
3106,3
3174,3
3182,3
32,3
326343,3
3326,3
339,3
3417,3
3429,3
3735,3
375791,3
38,3
39,3
3945,3
439996,3
4493,3
4494,3
4495,3
4499,3
47,3
4938,3
4939,3
494514,3
51035,3
51068,3
51069,3
51162,3
54499,3
5478,3
549,3
55127,3
55753,3
55967,3
56888,3
56984,3
5710,3
58526,3
60489,3
60493,3
6059,3
6122,3
6134,3
6232,3
63891,3
64108,3
64146,3
65985,3
65987,3
6687,3
7316,3
79070,3
79872,3
80221,3
8216,3
83743,3
8436,3
84365,3
8452,3
85363,3
85376,3
85476,3
858,3
8638,3
8645,3
8663,3
91074,3
91543,3
93082,3
9364,3
9636,3
9923,3
10189,4
10212,4
10432,4
10492,4
10526,4
10762,4
10783,4
10898,4
10915,4
10921,4
11001,4
11052,4
11097,4
11218,4
113177,4
116835,4
129401,4
140609,4
145864,4
1654,4
1656,4
167227,4
1977,4
1981,4
22794,4
22824,4
22916,4
22938,4
23165,4
23225,4
23279,4
2332,4
23405,4
23511,4
23534,4
23636,4
256764,4
25894,4
25909,4
259217,4
25929,4
26097,4
2646,4
27147,4
27161,4
2733,4
27336,4
28778,4
30834,4
3184,4
3303,4
3305,4
3306,4
3308,4
3309,4
3310,4
3312,4
3313,4
3316,4
348995,4
3837,4
4043,4
4116,4
4686,4
4841,4
4869,4
4927,4
4928,4
50628,4
51182,4
51213,4
51362,4
51501,4
51692,4
51741,4
53371,4
5371,4
53981,4
55110,4
55706,4
55746,4
57122,4
5871,4
5901,4
5903,4
5905,4
6396,4
6426,4
6613,4
6672,4
6782,4
727851,4
7329,4
7341,4
7514,4
7884,4
79023,4
7919,4
79760,4
79833,4
79902,4
8021,4
8086,4
81608,4
84248,4
84675,4
8480,4
8487,4
8570,4
91754,4
9576,4
9631,4
96764,4
9688,4
9775,4
9785,4
988,4
9972,4
10120,5
10121,5
10159,5
1047,5
10540,5
10671,5
11127,5
11258,5
114876,5
127550,5
1314,5
1315,5
1639,5
1778,5
1780,5
1781,5
1783,5
23423,5
25864,5
26123,5
2720,5
285643,5
29127,5
3107,5
3108,5
3109,5
3111,5
3112,5
3113,5
3115,5
3117,5
3118,5
3119,5
3120,5
3122,5
3123,5
3125,5
3126,5
3127,5
3140,5
3320,5
339416,5
374654,5
375,5
378,5
3796,5
3799,5
381,5
5048,5
51146,5
51164,5
53947,5
547,5
54801,5
54903,5
55738,5
55835,5
55860,5
57731,5
64837,5
6711,5
6712,5
7531,5
7846,5
7879,5
79102,5
81876,5
821,5
829,5
830,5
832,5
84197,5
84364,5
84516,5
84517,5
84643,5
8703,5
8705,5
8706,5
8707,5
8729,5
89953,5
926,5
93661,5
966,5
10535,6
10721,6
11073,6
1111,6
11144,6
11200,6
1763,6
2171,6
2177,6
2237,6
22976,6
2547,6
25920,6
27434,6
284992,6
29980,6
3010,6
3014,6
3981,6
4046,6
4171,6
4172,6
4174,6
4175,6
4176,6
4361,6
4678,6
472,6
4998,6
5111,6
51497,6
5422,6
5427,6
5431,6
545,6
55215,6
5557,6
57379,6
580,6
5884,6
5888,6
5890,6
5892,6
5932,6
5983,6
6117,6
6118,6
6240,6
63967,6
641,6
64785,6
672,6
675,6
6924,6
7156,6
7158,6
7469,6
7520,6
79075,6
7936,6
79728,6
8208,6
83990,6
84126,6
84296,6
90381,6
904,6
9401,6
9656,6
10001,7
1017,7
1019,7
1020,7
1021,7
1025,7
1026,7
1028,7
1029,7
1051,7
1387,7
1869,7
1870,7
1874,7
2034,7
2113,7
2195,7
219541,7
2232,7
2274,7
23198,7
26993,7
286151,7
29079,7
29882,7
3007,7
3009,7
3012,7
3159,7
3725,7
3838,7
3925,7
4134,7
4139,7
4193,7
4609,7
5713,7
5925,7
5933,7
5934,7
5948,7
5966,7
5970,7
64682,7
653604,7
6908,7
7027,7
7157,7
7185,7
7345,7
80306,7
81669,7
8295,7
8356,7
83852,7
8607,7
8841,7
8900,7
894,7
898,7
902,7
9134,7
9282,7
9443,7
983,7
2899,8
2902,8
2903,8
2904,8
2905,8
2906,8
54768,8
5499,8
5501,8
5518,8
10,9
1066,9
114799,9
13,9
15,9
4001,9
4926,9
5885,9
9,9
